X,Y,OBJECTID,Equipment_ID,Equipment_Name,Current_Location,Current_Lat,Current_Long,Allocated_Location,Allocated_Lat,Allocated_Long,ON_Number,Lifeboat_Number,MMSI,Class,Launch_Method,Product_ID,Model_ID,On_Service_Date
-2.489611,50.614981,78,OB02003701,D-Class CT Mabel Davis,Weymouth Support Centre,50.614981,-2.489611,,,,,D-640,,D-Class,IB1 variant,IB1,MK2CTIB1,15/07/2005
-6.6566147799999,55.20681,90,OB02006702,D-Class ILB David Roulston (Civil Service 52),Portrush ILB D,55.206818892,-6.65661118899995,Portrush ILB D,55.20681,-6.65661478,,D-738,0,D-Class,IB1,IB1 variant,MK2IB1,0
-6.05346394,55.0749969500001,93,OB02006408,B-Class A85 Geoffrey Charles,Red Bay ILB B,55.074971165,-6.05348184599995,Red Bay ILB B,55.07499695,-6.05346394,,B-843,0,B-Class,Atlantic85,Atlantic 85,MK3Atlantic85,0
-5.8001,54.8467,94,OB02002739,ON1246 Trent ALB Dr John McSparran,Larne ALB,54.8467,-5.80009999999995,Larne ALB,54.8467,-5.8001,ON1246,14-30,232004397,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/2000
-5.80012894,54.84673309,95,OB02016855,D-Class ILB Terry,Larne ILB D,54.8467,-5.80009999999995,Larne ILB D,54.84673309,-5.80012894,,D-783,0,D-Class,IB1,IB1 variant,MK2IB1,0
-5.53200017399996,54.6434258080001,97,OB02002969,ON1267 Trent ALB Saxon,Donaghadee ALB,54.643425808,-5.53200017399995,Donaghadee ALB,54.643425808,-5.532000174,ON1267,14-36,235007808,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/04/2003
-5.5493824599999,54.3810295700001,98,OB02006048,B-Class A85 Blue Peter V,Portaferry ILB B,54.38102957,-5.54938245999995,Portaferry ILB B,54.38102957,-5.54938246,,B-833,235095912,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,07/07/2009
-5.88713368099997,54.1980533080001,99,OB02002213,ON1188 Mersey ALB Eleanor and Bryant Girling,Newcastle (Co Down) ALB,54.198053308,-5.88713368099995,Newcastle (Co Down) ALB,54.198053308,-5.887133681,ON1188,12-29,232003206,Mersey,Slipway Boat,SlipwayBoat,MK1FRCMersey,30/06/1992
-5.88713368099997,54.1980533080001,100,OB02004937,D-Class ILB The Pat,Newcastle (Co Down) ILB D,54.198053308,-5.88713368099995,,,,,D-695,,D-Class,IB1 variant,IB1,MK2IB1,01/02/2008
-5.98964509599995,54.0586544350001,101,OB02004233,B-Class A85 Frank William Walton,Kilkeel ILB B,54.058654435,-5.98964509599995,Kilkeel ILB B,54.058654435,-5.989645096,,B-812,235090694,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,28/11/2006
-4.76797218199994,54.0851357060001,102,OB02004234,B-Class A85 Muriel and Leslie,Port Erin ILB B,54.085135706,-4.76797218199995,Port Erin ILB B,54.085135706,-4.767972182,,B-813,235092931,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,31/10/2006
-4.3784050899999,54.3225593600001,103,OB02002174,ON1181 Mersey ALB Ruby Clery,Ramsey ALB,54.227063527,-4.69801407299995,Ramsey ALB,54.32255936,-4.37840509,ON1181,,0,Mersey,CarriageBoat,Carriage Boat,MK1FRCMersey,0
-4.3784050899999,54.3225593600001,104,OB02002131,ON1171 Mersey ALB Ann and James Ritchie,Ramsey ALB,54.32262579,-4.37838817099995,,0,0,ON1171,,0,Mersey,CarriageBoat,Carriage Boat,MK1FRCMersey,0
-4.7345090499999,54.070465815,106,OB02002192,ON1234 Trent ALB Gough Ritchie II,Port St Mary ALB,54.070465815,-4.73450904999995,Port St Mary ALB,54.070465815,-4.73450905,ON1234,14-26,232003132,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1998
-4.7345090499999,54.070465815,107,OB02006705,D-Class ILB Spirit of Leicester,Port St Mary ILB D,54.070465815,-4.73450904999995,Port St Mary ILB D,54.070465815,-4.73450905,,D-742,235108838,D-Class,IB1 variant,IB1,MK2IB1,01/10/2010
-3.1827,53.3659,108,OB02010341,D-Class ILB Seahorse,West Kirby ILB D,53.3659,-3.18269999999995,West Kirby ILB D,53.3659,-3.1827,,D-751,235096971,D-Class,IB1 variant,IB1,MK2IB1,11/06/2012
-3.17759847,53.3993020560001,109,OB02026449,ON1313 Shannon ALB Edmund Hawthorn Micklewood,Hoylake ALB,53.399302056,-3.17759846999995,Hoylake ALB,53.399302056,-3.17759847,ON1313,13-06,235106573,Shannon,Carriage Boat,CarriageBoat,MK1Shannon,01/01/2016
-3.047264,53.439459,110,OB02006221,B-Class A85 Charles Dibdin (Civil Service 51),New Brighton ILB B,53.439459,-3.047264,New Brighton ILB B,53.439459,-3.047264,,B-837,235108089,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,10/11/2009
-3.03268871599994,53.746724069,112,OB02023344,D-Class ILB Moam,Lytham St Annes ILB D,53.746724069,-3.03268871599995,Lytham St Annes ILB D,53.746724069,-3.032688716,,D-800,,D-Class,IB1 variant,IB1,MK2IB1,12/09/2016
-3.0561,53.8133,113,OB02012488,B-Class A85 William and Eleanor,Blackpool ILB B,53.8133,-3.05609999999995,Blackpool ILB B,53.8133,-3.0561,,B-867,235097644,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,22/04/2013
-3.0561,53.8133,114,OB02006569,D-Class ILB Basil Eric Brooks,Blackpool ILB D,53.8133,-3.05609999999995,Blackpool ILB D,53.8133,-3.0561,,D-732,235102869,D-Class,IB1 variant,IB1,MK2IB1,24/02/2010
-3.0561,53.8133,115,OB02006405,D-Class ILB Eileen Mary George,Blackpool ILB D,53.8133,-3.05609999999995,Blackpool ILB D,53.8133,-3.0561,,D-729,235102861,D-Class,IB1 variant,IB1,MK2IB1,12/12/2009
-3.00644174899998,53.927750562,118,OB02006280,D-Class ILB Mary Elizabeth Barnes,Fleetwood ILB D,53.927750562,-3.00644174899995,Fleetwood ILB D,53.927750562,-3.006441749,,D-719,235096959,D-Class,IB1 variant,IB1,MK2IB1,14/10/2009
-2.8636,54.0751,119,OB02006316,D-Class ILB Margaret Mary Timpany,Morecambe ILB D,54.0751,-2.86359999999995,Morecambe ILB D,54.0751,-2.8636,,D-722,235096963,D-Class,IB1 variant,IB1,MK2IB1,01/10/2009
-3.17329205199997,54.0724058860001,122,OB02006697,D-Class ILB Vision of Tamworth,Barrow ILB D,54.072405886,-3.17329205199995,Barrow ILB D,54.072405886,-3.173292052,,D-733,235108869,D-Class,IB1 variant,IB1,MK2IB1,01/09/2010
-3.6065,54.491,123,OB02005005,B-Class A85 Joy Morris MBE,St Bees ILB B,54.491,-3.60649999999995,St Bees ILB B,54.491,-3.6065,,B-831,235091469,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/03/2009
-3.5676889399999,54.65088654,124,OB02001083,ON1326 Shannon ALB Dorothy May White,Workington ALB,54.650894359,-3.56765998299995,Workington ALB,54.65088654,-3.56768894,ON1326,,0,Shannon,AfloatBoat,Afloat Boat,MK1Shannon,0
-3.56765998299994,54.6508943590001,125,OB02014020,D-Class ILB John F Mortimer,Workington ILB D,54.650894359,-3.56765998299995,Workington ILB D,54.650894359,-3.567659983,,D-767,235102822,D-Class,IB1 variant,IB1,MK2IB1,17/04/2014
-3.39322347699994,54.8700507410001,126,OB02005002,B-Class A85 Elaine and Don Wilkinson,Silloth ILB B,54.870050741,-3.39322347699995,Silloth ILB B,54.870050741,-3.393223477,,B-828,235098755,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/10/2008
-3.8135,54.8765,127,OB02006315,D-Class ILB Catherine,Kippford ILB D,54.8765,-3.81349999999995,Kippford ILB D,54.8765,-3.8135,,D-718,235096957,D-Class,IB1 variant,IB1,MK2IB1,01/10/2009
-4.04750680899997,54.8396263120001,128,OB02004324,B-Class A85 Sheila Stenhouse,Kirkcudbright ILB B,54.8396263122559,-4.04750680923462,Kirkcudbright ILB B,54.839626312,-4.0475068092,,B-814,235092932,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,12/12/2006
-2.45015812,50.60724258,130,OB02004939,D-Class BB Stranraer Saviour Civil Service 49,Weymouth ILB B,54.908138581,-5.03522430699995,Weymouth ILB B,50.60724258,-2.45015812,,,0,D-Class,IB1,IB1 variant,MK2BBIB1,0
-5.60186773,55.4251988720001,132,OB02002115,ON1241 Severn ALB Ernest and Mary Shaw,Campbeltown ALB,55.425198872,-5.60186772999995,Campbeltown ALB,55.425198872,-5.60186773,ON1241,17-19,232003139,Severn,Afloat Boat,AfloatBoat,MK1CATSevern,30/06/1998
-5.60186773,55.4251988720001,133,OB02006701,D-Class ILB Alastair Greenlees,Campbeltown ILB D,55.425198872,-5.60186772999995,Campbeltown ILB D,55.425198872,-5.60186773,,D-737,235108852,D-Class,IB1 variant,IB1,MK2IB1,01/07/2010
-5.12479280199994,55.535229375,134,OB02012711,B-Class A85 Rachel Hedderwick,Arran (Lamlash) ILB B,55.535229375,-5.12479280199995,Arran (Lamlash) ILB B,55.535229375,-5.124792802,,B-876,235105712,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,01/07/2014
-4.6814,55.5481,135,OB02003224,ON1275 Trent ALB Jim Moffat,Troon ALB,55.5481,-4.68139999999995,Troon ALB,55.5481,-4.6814,ON1275,14-38,,Trent,Afloat Boat,AfloatBoat,MK1Trent,25/02/2004
-6.10479957599995,55.847496,137,OB02002111,ON1219 Severn ALB Helmut Schroder of Dunlossit II,Islay ALB,55.847496,-6.10479957599995,Islay ALB,55.847496,-6.104799576,ON1219,17-08,232002470,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1997
-4.87052608399995,55.8000102190001,138,OB02007403,B-Class A85 R A Wilson,Largs ILB B,55.800010219,-4.87052608399995,Largs ILB B,55.800010219,-4.870526084,,B-854,235089704,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,04/11/2011
-5.23263679399997,55.906743427,140,OB02010338,B-Class A85 James and Helen Mason,Tighnabruaich ILB B,55.906743427,-5.23263679399995,Tighnabruaich ILB B,55.906743427,-5.232636794,,B-862,235092938,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,04/07/2012
-5.47959170399997,56.4110718840001,141,OB02002149,ON1227 Trent ALB Mora Edith Macdonald,Oban ALB,56.411071884,-5.47959170399995,Oban ALB,56.411071884,-5.479591704,ON1227,14-23,232002584,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1997
-6.06430446299993,56.623206044,142,OB02002972,ON1270 Severn ALB Elizabeth Fairlie Ramsay,Tobermory ALB,56.623206044,-6.06430446299995,Tobermory ALB,56.623206044,-6.064304463,ON1270,17-39,235007798,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,28/07/2003
-5.8287,57.006,143,OB02002753,ON1250 Severn ALB Henry Alston Hewat,Mallaig ALB,57.006,-5.8287,Mallaig ALB,57.006,-5.8287,ON1250,17-26,232004402,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/01/2001
-7.48712866399995,56.9541098940001,144,OB02002189,ON1230 Severn ALB Edna Windsor,Barra Island ALB,56.954109894,-7.48712866399995,Barra Island ALB,56.954109894,-7.487128664,ON1230,17-12,232003050,Severn,Afloat Boat,AfloatBoat,MK1CATSevern,30/06/1998
-5.71459491099995,57.280223988,145,OB02007405,B-Class A85 Spirit of Fred Olsen,Kyle of Lochalsh ILB B,57.280223988,-5.71459491099995,Kyle of Lochalsh ILB B,57.280223988,-5.714594911,,B-856,235089706,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,15/12/2011
-6.18990915099994,57.4107143680001,146,OB02002117,ON1214 Trent ALB Stanley Watson Barker,Portree ALB,57.410714368,-6.18990915099995,Portree ALB,57.410714368,-6.189909151,ON1214,14-16,232002390,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1996
-6.38917135,58.2100388760001,148,OB02002172,ON1238 Severn ALB Tom Sanderson,Stornoway ALB,58.210038876,-6.38917134999995,Stornoway ALB,58.210038876,-6.38917135,ON1238,17-18,232003136,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1998
-5.24770136699993,58.1468913530001,149,OB02002973,ON1271 Severn ALB Julian and Margaret Leonard,Lochinver ALB,58.146891353,-5.24770136699995,Lochinver ALB,58.146891353,-5.247701367,ON1271,17-40,235007797,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,05/10/2003
-3.54697976299997,58.6121206660001,150,OB02002975,ON1273 Severn ALB The Taylors,Thurso ALB,58.612120666,-3.54697976299995,Thurso ALB,58.612120666,-3.546979763,ON1273,17-42,235007795,Severn,Afloat Boat,AfloatBoat,MK1CATSevern,07/04/2004
-3.20688087899993,58.8005757010001,151,OB02003817,ON1284 Tamar ALB Helen Comrie,Longhope ALB,58.800575701,-3.20688087899995,Longhope ALB,58.800575701,-3.206880879,ON1284,16-05,235030387,Tamar,Afloat Boat,AfloatBoat,MK1Tamar,14/10/2006
-3.29768991499998,58.963336945,152,OB02002197,ON1236 Severn ALB Violet Dorothy and Kathleen,Stromness ALB,58.9633369445801,-3.29768991470337,Stromness ALB,58.963336945,-3.2976899147,ON1236,17-16,232003134,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1998
-1.37520023199994,60.2863088280001,153,OB02002733,ON1260 Severn ALB Roger and Joy Freeman,Aith ALB,60.286308828,-1.37520023199995,,,,ON1260,17-31,235005115,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,01/10/2002
-1.14021995699994,60.1532866470001,154,OB02002078,ON1221 Severn ALB Michael and Jane Vernon,Lerwick ALB,60.153286647,-1.14021995699995,Lerwick ALB,60.153286647,-1.140219957,ON1221,17-10,232002490,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/1997
-3.08295339899996,58.4393365080001,156,OB02002158,ON1224 Trent ALB Roy Barker II,Wick ALB,58.439336508,-3.08295339899995,Wick ALB,58.439336508,-3.082953399,ON1224,14-20,232002183,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1996
-4.16740722599997,57.6865439530001,157,OB02002088,ON1206 Trent ALB Douglas Aikman Smith,Invergordon ALB,57.686543953,-4.16740722599995,Invergordon ALB,57.686543953,-4.167407226,ON1206,14-08,232001970,Trent,Afloat Boat,AfloatBoat,MK1Trent,30/06/1995
-4.2346537899999,57.5009910700001,158,OB02012704,B-Class A85 Robert and Isobel Mowat,Kessock ILB B,57.50099107,-4.23465378999995,Kessock ILB B,57.50099107,-4.23465379,,B-873,235101865,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,01/01/2013
-2.95271563599994,57.680841383,160,OB02002970,ON1268 Severn ALB William Blannin,Buckie ALB,57.680841383,-2.95271563599995,Buckie ALB,57.680841383,-2.952715636,ON1268,17-37,236007809,Severn,Afloat Boat,AfloatBoat,MK1CATSevern,28/05/2003
-2.49427239299996,57.6726974050001,161,OB02004102,B-Class A85 Lydia Macdonald,Macduff ILB B,57.672697405,-2.49427239299995,Macduff ILB B,57.672697405,-2.494272393,,B-804,235101861,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,19/05/2006
-2.00282398399997,57.6935710600001,162,OB02002732,ON1259 Trent ALB Willie and May Gall,Fraserburgh ALB,57.69357106,-2.00282398399995,Fraserburgh ALB,57.69357106,-2.002823984,ON1259,14-34,235005113,Trent,Afloat Boat,AfloatBoat,MK1Trent,18/05/2002
-1.77463431499996,57.5030418690001,163,OB02003815,ON1282 Tamar ALB The Misses Robertson of Kintail,Peterhead ALB,57.503041869,-1.77463431499995,Peterhead ALB,57.503041869,-1.774634315,ON1282,16-03,235030389,Tamar,Afloat Boat,AfloatBoat,MK1Tamar,07/04/2006
-2.08043070099995,57.1440391240001,164,OB02002740,ON1248 Severn ALB Bon Accord,Aberdeen ALB,57.144039124,-2.08043070099995,Aberdeen ALB,57.144039124,-2.080430701,ON1248,17-24,232004399,Severn,Afloat Boat,AfloatBoat,MK2MTUSevern,30/06/2000
-2.46390785099993,56.7036633880001,167,OB02026518,ON1317 Shannon ALB Ian Grant Smith,Montrose ALB,56.703663388,-2.46390785099995,Montrose ALB,56.703663388,-2.463907851,ON1317,13-10,235106578,Shannon,Afloat Boat,AfloatBoat,MK1Shannon,01/01/2016
-2.46390785099993,56.7036633880001,168,OB02012708,D-Class ILB Nigel A Kennedy,Montrose ILB D,56.703663388,-2.46390785099995,Montrose ILB D,56.703663388,-2.463907851,,D-764,235102026,D-Class,IB1 variant,IB1,MK2IB1,02/12/2013
-2.58482664699994,56.555266616,169,OB02012577,D-Class ILB Robert Fergusson,Arbroath ILB D,56.555266616,-2.58482664699995,Arbroath ILB D,56.555266616,-2.584826647,,D-759,235099414,D-Class,IB1 variant,IB1,MK2IB1,05/07/2013
-2.8774,56.465,170,OB02002759,ON1252 Trent ALB Elizabeth of Glamis,Broughty Ferry ALB,56.465,-2.87739999999995,Broughty Ferry ALB,56.465,-2.8774,ON1252,14-31,232004404,Trent,Afloat Boat,AfloatBoat,MK1Trent,14/04/2001
-2.8774,56.465,171,OB02006703,D-Class ILB Ole Schroder,Broughty Ferry ILB D,56.465,-2.87739999999995,,,,,D-740,235096976,D-Class,IB1 variant,IB1,MK2IB1,22/02/2016
-2.69731761799994,56.2215195970001,172,OB02002122,ON1174 Mersey ALB Kingdom of Fife,Anstruther ALB,56.221519597,-2.69731761799995,Anstruther ALB,56.221519597,-2.697317618,ON1174,12-17,232002250,Mersey,Carriage Boat,CarriageBoat,MK1FRCMersey,01/08/1991
-2.69731761799994,56.2215195970001,173,OB02023534,D-Class ILB AKIRA,Anstruther ILB D,56.221519597,-2.69731761799995,Anstruther Lifeboat Station,56.221519597,-2.697317618,,D-802,,D-Class,IB1 variant,IB1,MK2IB1,12/10/2016
-3.17395391299993,56.0685481130001,174,OB02006220,B-Class A85 Tommy Niven,Kinghorn ILB B,56.068548113,-3.17395391299995,Kinghorn ILB B,56.068548113,-3.173953913,,B-836,235105951,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,20/10/2009
-3.3852,55.9906,175,OB02007175,B-Class A85 Jimmie Cairncross,Queensferry ILB B,55.9906,-3.38519999999995,Queensferry ILB B,55.9906,-3.3852,,B-851,235087721,B-Class,Atlantic 85,Atlantic85,MK2SIMSAtlantic85,04/09/2012
-2.71763353299997,56.060237294,176,OB02012541,D-Class ILB Eveyln M,North Berwick ILB D,56.060237294,-2.71763353299995,North Berwick ILB D,56.060237294,-2.717633533,,D-758,235098963,D-Class,IB1 variant,IB1,MK2IB1,02/05/2013
-2.51490935299995,56.005043162,177,OB02002968,ON1266 Trent ALB John Neville Taylor,Dunbar ALB,56.005043162,-2.51490935299995,Dunbar ALB,56.005043162,-2.514909353,ON1266,14-35,235005114,Trent,Afloat Boat,AfloatBoat,MK1Trent,19/11/2002
-2.08611488299994,55.8721771240001,179,OB02007406,D-Class ILB Myway,Eyemouth ILB D,55.8721771240234,-2.08611488342285,,,,,D-745,235090928,D-Class,IB1 variant,IB1,MK2IB1,01/08/2011
-2.00027844199997,55.760970935,180,OB02002228,ON1191 Mersey ALB Joy and Charles Beeby,Berwick-Upon-Tweed ALB,55.760970935,-2.00027844199995,Berwick-Upon-Tweed ALB,55.760970935,-2.000278442,ON1191,12-32,232002575,Mersey,Slipway Boat,SlipwayBoat,MK1FRCMersey,30/06/1992
-2.00027844199997,55.760970935,181,OB02016457,D-Class ILB Vi and Charles Hogbin,Berwick-Upon-Tweed ILB D,55.760970935,-2.00027844199995,Berwick-Upon-Tweed ILB D,55.760970935,-2.000278442,,D-777,235107685,D-Class,IB1 variant,IB1,MK2IB1,23/12/2014
-1.6539,55.5829,182,OB02002135,ON1173 Mersey ALB Grace Darling,Seahouses ALB,55.5829,-1.65389999999995,Seahouses ALB,55.5829,-1.6539,ON1173,12-16,232002240,Mersey,Carriage Boat,CarriageBoat,MK1FRCMersey,01/01/1991
-1.5816,55.3364,185,OB02001058,ON1323 Shannon ALB Elizabeth and Leonard,Amble ALB,55.3364,-1.58159999999995,Amble ALB,55.3364,-1.5816,ON1323,13-16,235109054,Shannon,Carriage Boat,CarriageBoat,MK1Shannon,01/01/2016
-1.5816,55.3364,186,OB02006700,D-Class ILB Mildred Holcroft,Amble ILB D,55.3364,-1.58159999999995,Amble ILB D,55.3364,-1.5816,,D-736,235108854,D-Class,IB1 variant,IB1,MK2IB1,07/05/2012
-1.5066,55.1859,187,OB02010340,B-Class A85 Richard Wake Burdon,Newbiggin ILB B,55.1859,-1.50659999999995,Newbiggin ILB B,55.1859,-1.5066,,B-864,235095307,B-Class,Atlantic 85,Atlantic85,MK1Atlantic85,18/09/2012
